key,source,en,zh
audit_scene_node_persistence,,Audit node owner and persistence state for the currently edited scene. Reports missing or invalid owner relationships that affect scene saving and inheritance.,审计当前编辑场景的节点所有者和持久化状态。报告影响场景保存和继承的缺失或无效的所有者关系。
await_debugger_state,,Wait for a specific debugger state.,等待特定的调试器状态。
await_runtime_condition,,Wait for a condition to be true in the running game.,在运行中游戏中等待条件为真。
await_scene_ready,,Poll the runtime until the specified scene is loaded and ready.,轮询运行时直到指定场景加载就绪。
bake_navigation_mesh,,Bake a NavigationRegion3D navigation mesh or build a NavigationRegion2D polygon from an outline or source geometry.,烘焙 NavigationRegion3D 导航网格，或从轮廓/源几何构建 NavigationRegion2D 多边形。
batch_scene_node_edits,,Apply multiple create/delete scene node edits inside one editor UndoRedo action so the full structure change undoes in a single step.,在单个编辑器 UndoRedo 操作中应用多个创建/删除场景节点编辑，使整个结构变更可在单步中撤销。
batch_update_node_properties,,Update multiple node properties inside one editor UndoRedo action. Useful for transaction-style scene edits that should undo in a single step.,在一个编辑器 UndoRedo 操作中更新多个节点属性。适用于需要在单步中撤销的事务式场景编辑。
call_runtime_node_method,,Call a method on a node in the running game.,调用运行中游戏中节点的方法。
clear_output,,Clear the editor output panel.,清除编辑器输出面板。
clear_runtime_theme_override,,Clear a theme override in the running game.,在运行中的游戏中清除主题覆盖。
close_scene_tab,,Close the active scene tab, or activate a specified scene tab and close it.,关闭当前活动的场景标签页，或激活指定的场景标签页然后关闭它。
compare_render_screenshots,,Compare two screenshot images and report pixel differences, RMSE, and threshold-based match status.,比较两张截图图像并报告像素差异、RMSE 和基于阈值的匹配状态。
connect_signal,,Connect a signal from one node to another.,将一个节点的信号连接到另一个节点。
create_animation,,Create a new animation on an AnimationPlayer node with length and loop mode.,在 AnimationPlayer 节点上创建新动画，支持长度和循环模式。
create_animation_tree,,"Create an AnimationTree node with an AnimationNodeStateMachine root, optionally linked to an AnimationPlayer.",创建 AnimationTree 节点，根为 AnimationNodeStateMachine，可链接 AnimationPlayer。
create_node,,Create a new node in the Godot scene tree. Returns the node path and type.,在 Godot 场景树中创建新节点。返回节点路径和类型。
create_particles,,"Create a GPUParticles2D or GPUParticles3D node with amount, lifetime, one_shot, explosiveness, and randomness settings.",创建 GPUParticles2D 或 GPUParticles3D 节点，支持数量、寿命、one_shot、爆发力和随机性设置。
create_resource,,Create a new Godot resource file (.tres). Supports common resource types.,创建新的 Godot 资源文件（.tres）。支持常见的资源类型。
create_runtime_node,,Create a node in the running game.,在运行中的游戏中创建节点。
create_scene,,Create a new Godot scene with a root node. The scene is saved to the specified path.,创建一个新的 Godot 场景并包含根节点。场景保存到指定路径。
create_script,,Create a new GDScript file with optional template. GDScript files are complete programs, not resource files.,创建新的 GDScript 文件，可选模板。GDScript 文件是完整程序，不是资源文件。
create_shader,,"Create a shader file (.gdshader) with a template for spatial, canvas_item, particles, or sky, or with provided content.",创建着色器文件（.gdshader），支持 spatial、canvas_item、particles、sky 模板或自定义内容。
create_theme,,Create a new Theme resource (.tres) with an optional default font size.,创建新的 Theme 资源（.tres），可设置默认字体大小。
debug_continue,,Continue execution in the debugger.,在调试器中继续执行。
debug_continue_and_wait,,Continue and wait for the debugger to pause or complete.,继续执行并等待调试器暂停或完成。
debug_print,,Print debug messages to the editor console.,向编辑器控制台输出调试消息。
debug_step_into,,Step into the next function call in the debugger.,在调试器中步入下一个函数调用。
debug_step_into_and_wait,,Step into and wait for the debugger to pause.,步入并等待调试器暂停。
debug_step_out,,Step out of the current function in the debugger.,在调试器中步出当前函数。
debug_step_out_and_wait,,Step out and wait for the debugger to pause.,步出并等待调试器暂停。
debug_step_over,,Step over the next line in the debugger.,在调试器中步过下一行。
debug_step_over_and_wait,,Step over and wait for the debugger to pause.,步过并等待调试器暂停。
delete_node,,Delete a node from the Godot scene tree. This operation is destructive and cannot be undone.,从 Godot 场景树中删除节点。此操作是破坏性的，无法撤销。
delete_runtime_node,,Delete a node in the running game.,在运行中的游戏中删除节点。
detect_broken_scripts,,Detect broken scripts in the project.,检测项目中的损坏脚本。
disconnect_signal,,Disconnect a signal from one node to another.,断开一个节点到另一个节点的信号连接。
duplicate_node,,Duplicate a node and its children in the scene tree. Returns the new node path.,在场景树中复制节点及其子节点。返回新节点的路径。
edit_shader,,Edit a shader file with full content replacement or search-and-replace.,编辑着色器文件，支持全量替换或查找替换。
evaluate_debug_expression,,Evaluate an expression in the paused script debugger context for a given frame.,在给定帧的暂停脚本调试器上下文中求值表达式。
evaluate_runtime_expression,,Evaluate an expression in the running game context.,在运行中的游戏上下文中求值表达式。
execute_editor_script,,Execute a script in the editor with access to editor APIs.,在编辑器中执行脚本，可访问编辑器 API。
execute_script,,Execute a script in the editor context.,在编辑器上下文中执行脚本。
expand_debug_variable,,Expand a captured debug variable or evaluated expression value by scope and path, with pagination for arrays and dictionaries.,按作用域和路径展开捕获的调试变量或求值的表达式值，支持数组和字典的分页。
find_nodes_in_group,,Find all nodes in a specific group.,查找特定组中的所有节点。
find_script_symbol_definition,,Find definition locations for a script symbol across GDScript and C# project files.,在 GDScript 和 C# 项目文件中查找脚本符号的定义位置。
find_script_symbol_references,,Find textual project references to a script symbol across GDScript, C#, and scene files.,在 GDScript、C# 和场景文件中查找脚本符号的文本引用。
fix_resource_uid,,Fix resource UID issues.,修复资源 UID 问题。
get_animation_info,,"Read animation details: length, loop mode, step, and per-track keyframes.",读取动画详情：长度、循环模式、步长和每个轨道的关键帧。
get_animation_tree_structure,,"Read an AnimationTree structure: root node type, state machine states/transitions, or blend tree nodes.",读取 AnimationTree 结构：根节点类型、状态机状态/过渡或混合树节点。
get_audio_bus_layout,,"Read the full AudioServer bus layout: names, volume, solo/mute, send, and per-bus effects with parameters.",读取完整的 AudioServer 总线布局：名称、音量、solo/mute、send 和每条总线的效果及参数。
get_audio_info,,"List audio players under a node with stream, volume, bus, autoplay, and spatial properties.",列出节点下的音频播放器，包括流、音量、总线、自动播放和空间属性。
get_class_api_metadata,,Get typed API metadata for an engine ClassDB class or a project global script class.,获取引擎 ClassDB 类或项目全局脚本类的类型化 API 元数据。
get_collision_info,,"Read collision shapes, raycasts, layers, and body settings from a physics node (including children).",读取物理节点的碰撞形状、射线、层和物理体设置（含子节点）。
get_current_scene,,Get information about the currently open scene, including name, path, and root node type.,获取当前打开场景的信息，包括名称、路径和根节点类型。
get_current_script,,Get the currently edited script in the Godot editor.,获取 Godot 编辑器中当前正在编辑的脚本。
get_debug_output,,Read categorized runtime debugger output captured by the editor bridge.,读取由编辑器桥捕获的分类运行时调试器输出。
get_debug_scopes,,Group latest captured stack variables into DAP-like scopes for a frame.,将最新捕获的堆栈变量分组为帧的 DAP 风格作用域。
get_debug_stack_frames,,Return the latest captured script stack frames and request a fresh stack dump from breaked sessions.,返回最新捕获的脚本堆栈帧，并从已断点的会话请求新的堆栈转储。
get_debug_stack_variables,,Return latest captured local/member/global variables for a stack frame and request a fresh variable dump.,返回堆栈帧的最新捕获的局部/成员/全局变量，并请求新的变量转储。
get_debug_state_events,,Read recorded debugger break/resume/stop state transitions from the bridge.,从桥读取记录的调试器断点/恢复/停止状态转换。
get_debug_threads,,Return DAP-style debugger threads visible from the active Godot debug session.,从活动的 Godot 调试会话返回 DAP 风格的调试器线程。
get_debug_variables,,Resolve a DAP-style variablesReference into child variables, with optional pagination for large arrays and dictionaries.,将 DAP 风格的 variablesReference 解析为子变量，可选择对大数组和字典进行分页。
get_debugger_messages,,Read custom messages captured by the Godot debugger bridge.,读取由 Godot 调试器桥捕获的自定义消息。
get_debugger_sessions,,List Godot editor debugger sessions and their active/break state.,列出 Godot 编辑器调试器会话及其活动/断点状态。
get_editor_logs,,Get recent log messages from the editor or runtime. Supports filtering by source, type, and pagination.,获取编辑器或运行时的最近日志消息。支持按来源、类型和分页过滤。
get_editor_screenshot,,Capture a screenshot of the editor viewport and save it to a file.,截取编辑器视口的屏幕截图并保存到文件。
get_editor_state,,Get the current state of the Godot editor, including active scene and selection info.,获取 Godot 编辑器的当前状态，包括活动场景和选择信息。
get_import_metadata,,Get resource import metadata.,获取资源导入元数据。
get_inspector_properties,,Inspect a node or resource and return property metadata and serialized values similar to the Inspector.,检查节点或资源并返回与检查器类似的属性元数据和序列化值。
get_navigation_info,,"List navigation regions and agents under a node, including their properties and named layers.",列出节点下的导航区域和代理，包括其属性和命名层。
get_node_groups,,Get groups that a node belongs to.,获取节点所属的组。
get_node_properties,,Get all properties of a specific node in the scene tree.,获取场景树中特定节点的所有属性。
get_particle_info,,"Read GPUParticles node state: amount, lifetime, one_shot, explosiveness, randomness, emitting, and material properties.",读取 GPUParticles 节点状态：数量、寿命、one_shot、爆发力、随机性、发射状态和材质属性。
get_performance_metrics,,Get performance metrics from the editor or running game.,从编辑器或运行中的游戏获取性能指标。
get_physics_layers,,"Read collision_layer and collision_mask from a physics node, including resolved layer names.",读取物理节点的 collision_layer 和 collision_mask，包括解析后的层名称。
get_project_info,,Get general information about the Godot project, including name, version, and description.,获取 Godot 项目的总体信息，包括名称、版本和描述。
get_project_settings,,Get project settings. Optionally filter by a prefix.,获取项目设置。可选择按前缀过滤。
get_project_structure,,Get project structure and file organization.,获取项目结构和文件组织。
get_resource_dependencies,,Get resource dependencies.,获取资源依赖关系。
get_resource_uid_info,,Get resource UID information.,获取资源 UID 信息。
get_runtime_animation_state,,Get the state of an animation in the running game.,获取运行中游戏中动画的状态。
get_runtime_animation_tree_state,,Get the state of an animation tree in the running game.,获取运行中游戏中动画树的状态。
get_runtime_audio_bus,,Get an audio bus in the running game.,获取运行中游戏中的音频总线。
get_runtime_info,,Get runtime information about the running game.,获取运行中游戏的运行时信息。
get_runtime_material_state,,Get the state of a material in the running game.,获取运行中游戏中材质的状态。
get_runtime_memory_trend,,Get memory usage trends from the running game.,从运行中的游戏获取内存使用趋势。
get_runtime_performance_snapshot,,Get a performance snapshot from the running game.,从运行中的游戏获取性能快照。
get_runtime_scene_tree,,Get the scene tree from the running game.,从运行中的游戏获取场景树。
get_runtime_screenshot,,Take a screenshot of the running game.,截取运行中游戏的屏幕截图。
get_runtime_shader_parameters,,Get shader parameters in the running game.,获取运行中游戏中的着色器参数。
get_runtime_theme_item,,Get a theme item in the running game.,获取运行中游戏中的主题项。
get_runtime_tilemap_cell,,Get a TileMap cell in the running game.,获取运行中游戏中的 TileMap 单元格。
get_scene_structure,,Get the complete structure of the current scene as a tree. Returns node types, names, and hierarchy.,以树形结构获取当前场景的完整结构。返回节点类型、名称和层级关系。
get_scene_tree,,Get the complete scene tree hierarchy starting from the scene root. Returns full tree structure with node types.,获取从场景根节点开始的完整场景树层级。返回包含节点类型的完整树结构。
get_selected_nodes,,Get the list of currently selected nodes in the editor.,获取编辑器中当前选中节点的列表。
get_shader_params,,Read all shader uniforms from a node's ShaderMaterial.,读取节点 ShaderMaterial 的所有着色器 uniform。
get_signals,,Get all signals and their connections for a node.,获取节点的所有信号及其连接。
get_theme_info,,"Read a Control node's theme path, type list, and all theme overrides (colors, constants, font sizes, styleboxes).",读取 Control 节点的主题路径、类型列表和所有主题覆盖（颜色、常量、字体大小、样式盒）。
inspect_csharp_project_support,,Inspect C# / Mono project support files such as .csproj and .sln, including target frameworks, assembly metadata, and references.,检查 C# / Mono 项目支持文件（如 .csproj 和 .sln），包括目标框架、程序集元数据和引用。
inspect_export_templates,,Inspect locally installed Godot export templates for the current editor version.,检查本地安装的适用于当前编辑器版本的 Godot 导出模板。
inspect_runtime_node,,Inspect a node in the running game.,检查运行中游戏中的节点。
inspect_tileset_resource,,Inspect a TileSet resource and summarize its sources, atlas tiles, and scene tiles.,检查 TileSet 资源并汇总其来源、图集瓦片和场景瓦片。
install_runtime_probe,,Install a runtime probe for debugging.,安装用于调试的运行时探针。
list_animations,,"List all animations on an AnimationPlayer node with length, loop mode, and track count.",列出 AnimationPlayer 节点上的所有动画，包括长度、循环模式和轨道数。
list_export_presets,,List export presets from export_presets.cfg.,列出 export_presets.cfg 中的导出预设。
list_nodes,,List all nodes in the current scene or under a specific parent node.,列出当前场景或特定父节点下的所有节点。
list_open_scenes,,List scene tabs currently open in the Godot editor.,列出 Godot 编辑器中当前打开的场景标签页。
list_project_autoloads,,List project autoload entries with resolved path, singleton flag, and project setting order.,列出项目自动加载条目，包括已解析的路径、单例标志和项目设置顺序。
list_project_global_classes,,List project global script classes registered through class_name metadata.,列出通过 class_name 元数据注册的项目全局脚本类。
list_project_input_actions,,List project InputMap actions stored in ProjectSettings, including serialized input events.,列出存储在 ProjectSettings 中的项目 InputMap 动作，包括序列化的输入事件。
list_project_resources,,List all resource files in the project (.tres, .res, .png, .ogg, etc.).,列出项目中的所有资源文件（.tres、.res、.png、.ogg 等）。
list_project_scenes,,List all scene files (.tscn) in the project. Returns paths relative to res://.,列出项目中所有场景文件（.tscn）。返回相对于 res:// 的路径。
list_project_script_symbols,,Index script symbols across project GDScript and C# files. Returns class, extends, functions, signals, properties, and constants.,索引项目中 GDScript 和 C# 文件的脚本符号。返回类、继承、函数、信号、属性和常量。
list_project_scripts,,List all GDScript files (.gd) in the project. Returns paths relative to res://.,列出项目中所有 GDScript 文件（.gd）。返回相对于 res:// 的路径。
list_project_tests,,Discover runnable project tests under the Godot project's test directories. Reports Python integration tests and GUT unit tests, including whether each test is currently runnable.,发现 Godot 项目测试目录下的可运行项目测试。报告 Python 集成测试和 GUT 单元测试，包括每个测试当前是否可运行。
list_runtime_animations,,List animations available in the running game.,列出运行中游戏中可用的动画。
list_runtime_audio_buses,,List audio buses in the running game.,列出运行中游戏中的音频总线。
list_runtime_input_actions,,List input actions available in the running game.,列出运行中游戏中可用的输入动作。
list_runtime_tilemap_layers,,List TileMap layers in the running game.,列出运行中游戏中的 TileMap 图层。
modify_script,,Modify the content of an existing GDScript file. Can replace entire content or specific lines.,修改现有 GDScript 文件的内容。可以替换整个内容或特定行。
move_node,,Move a node to a new parent in the scene tree. Optionally preserves global transform.,将节点移动到场景树中的新父节点下。可选择保留全局变换。
open_scene,,Open a scene file from the project. Closes the current scene if one is open.,从项目中打开场景文件。如果当前有打开的场景，则先关闭它。
open_script_at_line,,Open a script file at a specific line number in the Godot editor.,在 Godot 编辑器中的指定行号打开脚本文件。
play_runtime_animation,,Play an animation in the running game.,播放运行中游戏中的动画。
read_script,,Read the content of a GDScript file (.gd). Returns the complete script source code.,读取 GDScript 文件（.gd）的内容。返回完整的脚本源代码。
read_shader,,Read a shader file's content.,读取着色器文件内容。
reimport_resources,,Reimport project resources.,重新导入项目资源。
reload_project,,Rescan the project filesystem and reload scripts. Useful after external file changes.,重新扫描项目文件系统并重新加载脚本。适用于外部文件更改后。
remove_animation,,Remove an animation from an AnimationPlayer node (undoable).,从 AnimationPlayer 节点移除动画（可撤销）。
remove_project_input_action,,Remove a project InputMap action from ProjectSettings and save project.godot.,从 ProjectSettings 中移除项目 InputMap 动作并保存 project.godot。
remove_runtime_input_action,,Remove an input action from the running game.,从运行中的游戏中移除输入动作。
remove_runtime_probe,,Remove a runtime probe.,移除运行时探针。
remove_state_machine_state,,Remove a state from an AnimationNodeStateMachine (undoable).,从 AnimationNodeStateMachine 移除状态（可撤销）。
remove_state_machine_transition,,Remove a transition between two states in an AnimationNodeStateMachine (undoable).,移除 AnimationNodeStateMachine 中两个状态之间的过渡（可撤销）。
rename_node,,Rename a node in the scene tree. The new name must be unique among siblings.,重命名场景树中的节点。新名称必须在同级节点中唯一。
rename_script_symbol,,Rename a script symbol across project files using identifier-boundary text replacements. Supports dry-run previews before applying changes.,使用标识符边界文本替换在项目文件中重命名脚本符号。支持在应用更改前进行试运行预览。
request_debug_break,,Request the debugger to break at the current execution point.,请求调试器在当前执行点断点。
run_export,,Run a Godot CLI export for a configured preset.,为配置的预设运行 Godot CLI 导出。
run_project,,Run the current project or a specific scene. Launches the game in play mode.,运行当前项目或指定场景。以运行模式启动游戏。
run_project_test,,Run a single project test script. Python integration tests are executed with python. GUT unit tests are executed through Godot headless when addons/gut is available.,运行单个项目测试脚本。Python 集成测试使用 python 执行。GUT 单元测试在 addons/gut 可用时通过 Godot 无头模式执行。
run_project_tests,,Discover and run multiple project tests from a directory. Reuses the same framework filters as list_project_tests and aggregates pass/fail counts.,从目录中发现并运行多个项目测试。使用与 list_project_tests 相同的框架过滤器，并汇总通过/失败计数。
save_scene,,Save the current scene to disk. If no path is provided, saves to the current scene's path.,将当前场景保存到磁盘。如果未提供路径，则保存到当前场景的路径。
scan_cyclic_resource_dependencies,,Scan for cyclic resource dependencies.,扫描循环资源依赖。
scan_missing_resource_dependencies,,Scan for missing resource dependencies.,扫描缺失的资源依赖。
search_in_files,,Search for text in project files.,在项目文件中搜索文本。
select_file,,Select a project file in the Godot FileSystem dock.,在 Godot 文件系统面板中选择一个项目文件。
select_node,,Select a node in the current edited scene and focus it in the Inspector.,在当前编辑的场景中选择一个节点并在检查器中聚焦它。
send_debug_command,,Send a command to the debugger.,向调试器发送命令。
send_debugger_message,,Send a custom debugger message to active Godot debugger sessions.,向活动的 Godot 调试器会话发送自定义调试器消息。
set_anchor_preset,,Set anchor preset for a Control node.,为 Control 节点设置锚点预设。
set_animation_keyframe,,Insert or update a keyframe at a given time on an animation track.,在动画轨道的指定时间插入或更新关键帧。
set_audio_bus,,"Update audio bus properties: volume_db, solo, mute, bypass_effects, send, or rename.",更新音频总线属性：volume_db、solo、mute、bypass_effects、send 或重命名。
set_blend_tree_node,,"Add or replace a node inside an AnimationNodeBlendTree. Types: Animation, Add2, Blend2, Add3, Blend3, TimeScale, TimeSeek, Transition, OneShot, Sub2.",在 AnimationNodeBlendTree 中添加或替换节点。类型：Animation、Add2、Blend2、Add3、Blend3、TimeScale、TimeSeek、Transition、OneShot、Sub2。
set_debugger_breakpoint,,Enable or disable a breakpoint in active Godot debugger sessions.,在活动的 Godot 调试器会话中启用或禁用断点。
set_editor_setting,,Set an editor setting value. Requires editor restart for some settings to take effect.,设置编辑器设置值。某些设置需要重启编辑器才能生效。
set_material_3d,,"Create or update a StandardMaterial3D on a MeshInstance3D surface with PBR parameters (albedo, metallic, roughness, emission, transparency, cull mode).",在 MeshInstance3D 表面创建或更新 StandardMaterial3D，支持 PBR 参数（albedo/metallic/roughness/emission/transparency/cull mode）。
set_navigation_layers,,"Set navigation_layers on a navigation region or agent. Accepts a bitmask, an array of layer numbers, or named layers from ProjectSettings.",设置导航区域或代理的 navigation_layers。接受位掩码、层号数组或 ProjectSettings 中的命名层。
set_node_groups,,Set groups for a node.,设置节点所属的组。
set_particle_color_gradient,,"Set a color gradient on a GPUParticles node's material from an array of {offset, color} stops.","从 {offset, color} 停止点数组设置 GPUParticles 节点材质的颜色渐变。"
set_particle_material,,"Configure the ParticleProcessMaterial of a GPUParticles node: direction, spread, velocity, gravity, scale, color, emission shape, damping.",配置 GPUParticles 节点的 ParticleProcessMaterial：方向、扩散、速度、重力、缩放、颜色、发射形状、阻尼。
set_physics_layers,,Set collision_layer and/or collision_mask on a physics node. Accepts an integer bitmask or an array of layer numbers (1-32).,设置物理节点的 collision_layer 和/或 collision_mask。接受整数位掩码或层号数组（1-32）。
set_runtime_animation_tree_active,,Set an animation tree active/inactive in the running game.,设置运行中游戏中动画树的活动/非活动状态。
set_runtime_shader_parameter,,Set a shader parameter in the running game.,设置运行中游戏中的着色器参数。
set_runtime_theme_override,,Set a theme override in the running game.,在运行中的游戏中设置主题覆盖。
set_runtime_tilemap_cell,,Set a TileMap cell in the running game.,设置运行中游戏中的 TileMap 单元格。
set_shader_param,,Set a shader uniform on a node's ShaderMaterial. Values are auto-parsed from strings.,设置节点 ShaderMaterial 的着色器 uniform。值会自动从字符串解析。
set_theme_color,,Set a theme color override on a Control node (undoable).,在 Control 节点上设置主题颜色覆盖（可撤销）。
set_theme_constant,,Set a theme constant override on a Control node (undoable).,在 Control 节点上设置主题常量覆盖（可撤销）。
set_theme_font_size,,Set a theme font size override on a Control node (undoable).,在 Control 节点上设置主题字体大小覆盖（可撤销）。
set_theme_stylebox,,"Set a StyleBoxFlat theme override on a Control node with background, border, corner radius, and padding (undoable).",在 Control 节点上设置 StyleBoxFlat 主题覆盖，支持背景、边框、圆角和内边距（可撤销）。
set_tree_parameter,,Set an AnimationTree parameter (auto-prefixed with 'parameters/').,设置 AnimationTree 参数（自动添加 'parameters/' 前缀）。
setup_camera_3d,,"Create or configure a Camera3D with position, rotation, FOV, near/far planes, and current camera flag.",创建或配置 Camera3D，支持位置、旋转、FOV、近远裁剪面和当前相机标志。
setup_collision,,"Add a CollisionShape2D or CollisionShape3D to a physics body or area node. Supports rectangle, circle, capsule, segment, convex (2D) and box, sphere, capsule, cylinder, convex (3D).",向物理体或区域节点添加 CollisionShape2D 或 CollisionShape3D。支持 2D（rectangle/circle/capsule/segment/convex）和 3D（box/sphere/capsule/cylinder/convex）。
setup_control,,"Configure a Control node layout: anchor preset, min size, size flags, margins, separation, and grow direction (undoable).",配置 Control 节点布局：锚点预设、最小尺寸、尺寸标志、边距、间距和增长方向（可撤销）。
setup_environment,,"Create or update a WorldEnvironment with background mode, procedural sky, ambient light, and tonemap settings.",创建或更新 WorldEnvironment，支持背景模式、程序化天空、环境光和色调映射设置。
setup_lighting,,"Add a DirectionalLight3D, OmniLight3D, or SpotLight3D with color, energy, and shadow settings.",添加 DirectionalLight3D、OmniLight3D 或 SpotLight3D，支持颜色、能量和阴影设置。
setup_navigation_agent,,Create a NavigationAgent2D or NavigationAgent3D with pathfinding and avoidance settings.,创建 NavigationAgent2D 或 NavigationAgent3D，支持寻路和避障设置。
setup_navigation_region,,Create a NavigationRegion2D or NavigationRegion3D with configurable agent and cell properties.,创建 NavigationRegion2D 或 NavigationRegion3D，支持配置代理和单元格属性。
setup_physics_body,,"Configure physics body properties. CharacterBody: motion_mode, floor settings, max_slides, slide_on_ceiling. RigidBody: mass, gravity_scale, damp, freeze, contact monitoring.",配置物理体属性。CharacterBody：motion_mode、floor 设置、max_slides、slide_on_ceiling。RigidBody：mass、gravity_scale、阻尼、freeze、接触监控。
simulate_runtime_input_action,,Simulate an input action in the running game.,在运行中的游戏中模拟输入动作。
simulate_runtime_input_event,,Simulate an input event in the running game.,在运行中的游戏中模拟输入事件。
stop_project,,Stop the currently running project and return to editor mode.,停止当前正在运行的项目并返回编辑器模式。
stop_runtime_animation,,Stop an animation in the running game.,停止运行中游戏中的动画。
toggle_debugger_profiler,,Toggle an EngineProfiler in active Godot debugger sessions.,在活动的 Godot 调试器会话中切换引擎性能分析器。
travel_runtime_animation_tree,,Travel to a new state in an animation tree in the running game.,在运行中游戏中导航到动画树的新状态。
update_node_property,,Update a property of a specific node. Supports common property types with automatic type conversion.,更新特定节点的属性。支持常见属性类型并自动进行类型转换。
update_runtime_audio_bus,,Update an audio bus in the running game.,更新运行中游戏中的音频总线。
update_runtime_node_property,,Update a node property in the running game.,更新运行中游戏中的节点属性。
upsert_project_input_action,,Create or update a project InputMap action in ProjectSettings and save project.godot.,在 ProjectSettings 中创建或更新项目 InputMap 动作并保存 project.godot。
upsert_runtime_input_action,,Create or update an input action in the running game.,在运行中的游戏中创建或更新输入动作。
validate_export_preset,,Validate an export preset against export_presets.cfg and local template availability.,根据 export_presets.cfg 和本地模板可用性验证导出预设。
validate_script,,Validate a script file for syntax errors.,验证脚本文件的语法错误。
